,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,bur gabo,,,,,,,,
1,yellowknife,75,CA,1552429232.0,78.0,62.45,-114.38,264.82,7.7
2,tuatapere,8,NZ,1552429205.0,78.0,-46.13,167.69,290.37,2.24
3,ribeira grande,75,PT,1552424400.0,76.0,38.52,-28.7,287.15,5.7
4,hermanus,88,ZA,1552428943.0,97.0,-34.42,19.24,290.37,1.63
5,dikson,20,RU,1552429590.0,87.0,73.51,80.55,251.837,1.68
6,ushuaia,20,AR,1552428000.0,61.0,-54.81,-68.31,282.15,2.1
7,providencia,40,CO,1552428000.0,68.0,1.24,-77.6,295.15,3.1
8,hilo,75,US,1552429459.0,73.0,19.71,-155.08,296.48,3.6
9,aklavik,90,CA,1552428000.0,58.0,68.22,-135.01,253.15,2.1
10,provideniya,40,RU,1552428000.0,53.0,64.42,-173.23,254.15,6.0
11,te anau,64,NZ,1552429597.0,79.0,-45.41,167.72,288.687,3.98
12,longyearbyen,75,NO,1552427400.0,84.0,78.22,15.63,258.15,0.5
13,rikitea,64,PF,1552429600.0,100.0,-23.12,-134.97,298.387,8.03
